account_id,account_age_days,n_transactions,avg_amount,region,device_type,prior_disputes,is_fraud
A00635,861,37,31.43,west,mobile,2,0
A00636,2936,37,151.4,east,web,0,0
A00637,596,36,26.95,south,api,1,0
A00638,2994,35,60.78,east,web,0,0
A00639,2592,36,42.25,east,web,0,0
A00640,493,36,54.66,east,mobile,0,0
A00641,1706,34,33.0,south,mobile,1,0
A00642,991,48,80.99,south,mobile,1,0
A00643,1468,48,28.05,north,web,1,0
A00644,1841,48,60.42,north,mobile,0,0
A00645,2699,40,96.12,east,web,1,0
A00646,2795,35,31.95,south,api,0,0
A00647,285,37,115.82,east,web,0,0
A00648,561,42,84.53,north,mobile,1,0
A00649,2097,35,41.85,north,mobile,0,0
A00650,642,45,34.38,west,mobile,0,0
A00651,1004,39,52.25,south,web,0,0
A00652,1768,44,36.32,west,mobile,1,0
A00653,550,42,34.38,north,web,0,0
A00654,2983,45,48.45,west,mobile,1,0
A00655,2034,40,45.1,south,web,0,0
A00656,704,45,60.11,south,mobile,0,0
A00657,1107,35,195.94,south,mobile,0,1
A00658,1955,32,124.04,north,mobile,1,0
A00659,1009,42,117.28,east,mobile,2,1
A00660,1876,35,86.97,south,mobile,1,0
A00661,2832,34,31.71,south,mobile,0,0
A00662,1115,43,21.02,south,mobile,1,0
A00663,621,31,44.49,west,mobile,0,0
A00664,878,34,158.78,west,api,0,1
A00665,1551,51,160.66,south,api,1,0
A00666,1680,38,14.7,north,mobile,0,0
A00667,101,45,11.06,south,mobile,0,0
A00668,1940,45,246.5,west,mobile,1,0
A00669,515,34,196.86,north,mobile,0,1
A00670,1900,40,31.07,north,mobile,1,0
A00671,2653,42,50.93,east,api,1,0
A00672,604,42,57.11,west,api,0,0
A00673,2374,37,147.36,north,mobile,0,0
A00674,131,32,35.19,east,web,2,0
A00675,1683,56,93.0,west,api,0,0
A00676,2011,47,69.85,south,mobile,0,0
A00677,690,38,71.56,west,mobile,0,0
A00678,2351,30,140.98,east,mobile,0,0
A00679,1686,64,62.3,east,mobile,0,0
A00680,1271,52,17.23,north,web,0,0
A00681,66,30,123.0,north,web,0,1
A00682,429,50,35.22,north,web,0,0
A00683,2147,38,122.49,south,mobile,1,0
A00684,1238,37,69.29,north,mobile,0,0
A00685,2158,41,22.64,north,mobile,1,0
A00686,2884,34,68.69,east,mobile,0,0
A00687,1948,50,30.83,north,mobile,0,0
A00688,2232,39,69.63,north,web,1,0
A00689,1845,31,37.94,north,mobile,0,0
A00690,921,45,135.51,north,web,0,0
A00691,248,36,28.77,north,mobile,1,0
A00692,1850,41,39.22,north,api,0,0
A00693,761,31,29.08,north,web,0,0
A00694,389,48,26.72,east,mobile,1,0
A00695,1735,37,42.83,south,mobile,0,0
A00696,1842,38,66.21,east,mobile,0,0
A00697,1200,35,90.44,east,web,0,0
A00698,1900,34,57.16,north,mobile,0,0
A00699,2976,39,36.25,north,api,1,0
A00700,2281,35,13.42,west,mobile,0,0
A00701,2773,37,127.47,east,mobile,0,0
A00702,231,28,34.58,north,web,0,0
A00703,481,41,78.31,east,mobile,0,0
A00704,1094,44,20.93,north,api,0,0
A00705,1782,34,213.32,south,api,0,0
A00706,2095,34,101.74,west,web,1,0
A00707,2097,34,24.54,north,mobile,0,0
A00708,2722,35,74.68,south,web,1,0
A00709,435,46,182.81,north,mobile,0,0
A00710,539,38,46.57,east,mobile,0,0
A00711,958,49,11.81,east,web,1,0
A00712,528,31,82.36,north,mobile,0,0
A00713,2156,34,287.92,north,mobile,0,0
A00714,1253,44,12.97,north,mobile,0,0
A00715,2706,40,137.32,south,mobile,2,0
A00716,872,50,44.28,south,mobile,0,0
A00717,1044,42,50.3,north,mobile,0,0
A00718,917,33,64.88,east,mobile,2,1
A00719,739,44,55.21,north,mobile,1,0
A00720,2526,47,118.69,north,web,0,0
A00721,2470,49,19.14,east,web,1,0
A00722,908,40,50.53,north,mobile,1,0
A00723,1767,36,23.52,west,web,0,0
A00724,2639,49,34.48,east,api,1,0
A00725,1445,52,792.6,south,api,0,0
A00726,2710,39,25.5,north,web,0,0
A00727,790,34,81.77,south,mobile,0,0
A00728,700,35,71.93,north,mobile,0,0
A00729,245,32,9.7,north,api,1,0
A00730,1905,34,19.44,north,web,0,0
A00731,83,49,10.65,north,mobile,1,0
A00732,558,31,47.58,south,web,0,0
A00733,1752,40,16.72,east,mobile,1,0
A00734,1338,41,24.35,east,api,0,0
A00735,597,42,13.71,north,mobile,0,0
A00736,1552,43,100.07,east,mobile,0,0
A00737,2927,40,93.43,east,web,1,0
A00738,2950,51,208.04,east,mobile,0,0
A00739,349,42,46.61,south,mobile,1,0
A00740,2266,44,106.09,south,mobile,0,0
A00741,1372,32,150.9,north,mobile,0,0
A00742,1413,44,358.83,west,mobile,1,1
A00743,1202,49,17.73,east,mobile,0,0
